Java HotSpot(TM) 64-Bit Server VM (25.92-b14) for windows-amd64 JRE (1.8.0_92-b14), built on Mar 31 2016 21:03:04 by "java_re" with MS VC++ 10.0 (VS2010)
2018-03-19T12:11:17.942+0530: 8.458: [GC (Allocation Failure) [PSYoungGen: 172576K->32K(173568K)] 173580K->1036K(523264K), 0.0006305 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:18.217+0530: 8.734: [GC (Allocation Failure) [PSYoungGen: 172576K->32K(173568K)] 173580K->1036K(523264K), 0.0005067 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:18.487+0530: 9.004: [GC (Allocation Failure) [PSYoungGen: 172576K->32K(173568K)] 173580K->1036K(523264K), 0.0005723 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:18.832+0530: 9.349: [GC (Allocation Failure) [PSYoungGen: 172576K->32K(173568K)] 173580K->1036K(523264K), 0.0005240 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:19.117+0530: 9.634: [GC (Allocation Failure) [PSYoungGen: 172576K->32K(173568K)] 173580K->1036K(523264K), 0.0005194 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:19.395+0530: 9.911: [GC (Allocation Failure) [PSYoungGen: 172576K->32K(173568K)] 173580K->1036K(523264K), 0.0005053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:19.678+0530: 10.194: [GC (Allocation Failure) [PSYoungGen: 172576K->32K(173568K)] 173580K->1036K(523264K), 0.0005332 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:19.965+0530: 10.482: [GC (Allocation Failure) [PSYoungGen: 172576K->32K(174080K)] 173580K->1036K(523776K), 0.0013075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:20.242+0530: 10.758: [GC (Allocation Failure) [PSYoungGen: 173088K->32K(173568K)] 174092K->1036K(523264K), 0.0004990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:20.524+0530: 11.040: [GC (Allocation Failure) [PSYoungGen: 173088K->32K(174080K)] 174092K->1036K(523776K), 0.0004982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:20.812+0530: 11.329: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0006107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:21.088+0530: 11.604: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:21.364+0530: 11.880: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0006044 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:21.636+0530: 12.152: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0004905 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:21.906+0530: 12.423: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0006016 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:22.194+0530: 12.710: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005243 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:22.471+0530: 12.987: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0004930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:22.746+0530: 13.262: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005765 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:23.021+0530: 13.537: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0004990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:23.293+0530: 13.810: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:23.568+0530: 14.084: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:23.849+0530: 14.366: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:24.128+0530: 14.644: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:24.405+0530: 14.922: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005314 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:24.682+0530: 15.199: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0004972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:24.966+0530: 15.482: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005116 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:25.242+0530: 15.758: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0004933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:25.510+0530: 16.027: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0006675 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:25.799+0530: 16.316: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:26.085+0530: 16.602: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005162 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:26.360+0530: 16.877: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:26.637+0530: 17.153: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0006326 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:26.911+0530: 17.427: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005191 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:27.183+0530: 17.699: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0004968 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:27.457+0530: 17.974: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005434 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:27.743+0530: 18.259: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:28.017+0530: 18.533: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0004542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:28.293+0530: 18.810: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005088 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:28.566+0530: 19.083: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0006985 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:28.862+0530: 19.378: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005392 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:29.141+0530: 19.657: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005124 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:29.420+0530: 19.937: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0005102 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:29.697+0530: 20.213: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0006996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-19T12:11:29.977+0530: 20.494: [GC (Allocation Failure) [PSYoungGen: 173600K->32K(174080K)] 174604K->1036K(523776K), 0.0004954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
